distance,lat,long
0.08,22.46337102,113.8944439
0.19,22.46337102,113.8944439
0.25,22.46337102,113.8944439
0.56,22.46337102,113.8944439
0.84,22.46337102,113.8944439
0.87,22.46337102,113.8944439
1.05,22.46337102,113.8944439
1.13,22.46337102,113.8944439
1.15,22.46337102,113.8944439
1.19,22.46337102,113.8944439
1.35,22.46337102,113.8944439
1.42,22.46337102,113.8944439
0.41,22.48138904,113.8749414
0.65,22.48138904,113.8749414
0.68,22.48138904,113.8749414
0.71,22.48138904,113.8749414
0.8,22.48138904,113.8749414
0.86,22.48138904,113.8749414
0.87,22.48138904,113.8749414
0.94,22.48138904,113.8749414
0.97,22.48138904,113.8749414
0.99,22.48138904,113.8749414
1.08,22.48138904,113.8749414
1.11,22.48138904,113.8749414
1.13,22.48138904,113.8749414
1.17,22.48138904,113.8749414
1.18,22.48138904,113.8749414
1.19,22.48138904,113.8749414
1.2,22.48138904,113.8749414
1.22,22.48138904,113.8749414
1.23,22.48138904,113.8749414
1.24,22.48138904,113.8749414
1.31,22.48138904,113.8749414
1.35,22.48138904,113.8749414
1.39,22.48138904,113.8749414
1.39,22.48138904,113.8749414
1.39,22.48138904,113.8749414
0.13,22.48138904,113.8944439
0.28,22.48138904,113.8944439
0.28,22.48138904,113.8944439
0.28,22.48138904,113.8944439
0.3,22.48138904,113.8944439
0.3,22.48138904,113.8944439
0.31,22.48138904,113.8944439
0.33,22.48138904,113.8944439
0.35,22.48138904,113.8944439
0.36,22.48138904,113.8944439
0.37,22.48138904,113.8944439
0.37,22.48138904,113.8944439
0.37,22.48138904,113.8944439
0.39,22.48138904,113.8944439
0.42,22.48138904,113.8944439
0.43,22.48138904,113.8944439
0.46,22.48138904,113.8944439
0.46,22.48138904,113.8944439
0.47,22.48138904,113.8944439
0.48,22.48138904,113.8944439
0.49,22.48138904,113.8944439
0.49,22.48138904,113.8944439
0.49,22.48138904,113.8944439
0.49,22.48138904,113.8944439
0.49,22.48138904,113.8944439
0.5,22.48138904,113.8944439
0.51,22.48138904,113.8944439
0.52,22.48138904,113.8944439
0.52,22.48138904,113.8944439
